#C:/Users/KIMED 1/Documents/Junaidin/iGEMDOCKv2.1/output/extracted_cav/cav4mxo_DB8.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcHum-nofilter/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav4mxo_DB8-669652551-0.pdb	-83.4119	-65.4199	-17.992	0	22.45
cav4mxo_DB8-669652552-0.pdb	-94.3162	-76.3398	-17.9764	0	25.6
cav4mxo_DB8-678392968-0.pdb	-74.7922	-57.312	-17.4802	0	21.5294
cav4mxo_DB8-747621969-0.pdb	-87.8433	-71.5714	-16.2719	0	19.9583
cav4mxo_DB8-771710410-0.pdb	-92.4298	-84.2622	-8.16752	0	21.4
cav4mxo_DB8-771710412-0.pdb	-79.2418	-67.3235	-11.9183	0	19.96
cav4mxo_DB8-775707993-0.pdb	-81.4941	-76.8786	-4.61547	0	23.0833
cav4mxo_DB8-790283204-0.pdb	-101.449	-74.7912	-26.6573	0	23.6667
cav4mxo_DB8-790945010-0.pdb	-79.3502	-77.8748	-1.47534	0	21.2917
cav4mxo_DB8-827603701-0.pdb	-89.3865	-87.0836	-2.30287	0	21.1786
cav4mxo_DB8-872455131-0.pdb	-72.8551	-69.5258	-3.32925	0	22.7391
cav4mxo_DB8-892894825-0.pdb	-87.7032	-76.4217	-11.2815	0	28.2105
cav4mxo_DB8-893461255-0.pdb	-89.539	-78.9126	-10.6264	0	26.6818
cav4mxo_DB8-895742824-0.pdb	-89.077	-70.2947	-18.7823	0	23.8571
cav4mxo_DB8-898726031-0.pdb	-77.6825	-67.1825	-10.5	0	23.0476
cav4mxo_DB8-899174537-0.pdb	-86.9124	-77.4922	-9.42022	0	18.5
cav4mxo_DB8-930236002-0.pdb	-80.1735	-67.5188	-12.6547	0	19.8571
cav4mxo_DB8-930781992-0.pdb	-90.8728	-87.431	-3.44173	0	19.6071
cav4mxo_DB8-932138740-0.pdb	-84.9336	-82.0031	-2.93056	0	21.9583
cav4mxo_DB8-932436643-0.pdb	-75.9247	-72.9673	-2.95739	0	25.2609
cav4mxo_DB8-952889807-0.pdb	-90.4765	-73.5577	-16.9188	0	21.4348
cav4mxo_DB8-956944795-0.pdb	-78.7713	-68.8115	-9.95981	0	23.2174
cav4mxo_DB8-956944796-0.pdb	-80.6769	-68.0692	-12.6077	0	20.3043
cav4mxo_DB8-1120625661-0.pdb	-79.5389	-64.6913	-14.8475	0	18.6957
cav4mxo_DB8-1174885768-0.pdb	-72.1428	-63.3389	-8.80388	0	24.25
cav4mxo_DB8-1175164193-0.pdb	-80.505	-72.009	-8.49603	0	24.25
cav4mxo_DB8-1186757257-0.pdb	-59.2008	-44.4838	-14.717	0	25.625
cav4mxo_DB8-1262209363-0.pdb	-72.7318	-66.628	-6.10385	0	21.6818
cav4mxo_DB8-1306985536-0.pdb	-71.1585	-64.1585	-7	0	22.6
cav4mxo_DB8-1331956343-0.pdb	-94.4706	-73.9554	-20.5152	0	21.4
cav4mxo_DB8-1337303424-0.pdb	-82.3496	-72.3042	-10.0454	0	24.0909
cav4mxo_DB8-1337555577-0.pdb	-76.4501	-72.0924	-4.35775	0	26.55
cav4mxo_DB8-1338083830-0.pdb	-84.6579	-66.4344	-18.2235	0	19.8095
cav4mxo_DB8-1339808042-0.pdb	-90.7566	-68.3595	-22.3971	0	27.7
cav4mxo_DB8-1342613141-0.pdb	-92.7818	-79.5376	-13.2442	0	27.8182
cav4mxo_DB8-1342613144-0.pdb	-93.1547	-79.3828	-13.7719	0	27.8636
