#C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcHum-nofilter/extracted_cav/cav1m17_AQ4.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/EGFRfarma/egfrnofilter/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav1m17_AQ4-590839569-0.pdb	-111.335	-106.273	-5.0626	0	19.7429
cav1m17_AQ4-614216777-0.pdb	-96.4515	-77.7841	-18.6675	0	21.5385
cav1m17_AQ4-624177239-0.pdb	-93.7161	-84.7148	-9.00124	0	23
cav1m17_AQ4-624284667-0.pdb	-90.6231	-78.4726	-12.1505	0	23.7083
cav1m17_AQ4-630332898-0.pdb	-89.858	-77.5858	-12.2723	0	23.875
cav1m17_AQ4-630541635-0.pdb	-104.024	-81.8342	-22.1896	0	23.5417
cav1m17_AQ4-630541638-0.pdb	-95.1534	-75.3521	-19.8013	0	24.375
cav1m17_AQ4-641655354-0.pdb	-89.8758	-80.1065	-9.76927	0	22.4167
cav1m17_AQ4-647138905-0.pdb	-87.4654	-76.8975	-10.5679	0	20.4167
cav1m17_AQ4-647138906-0.pdb	-88.1629	-74.3977	-13.7652	0	20.5417
cav1m17_AQ4-653474690-0.pdb	-86.5143	-72.9661	-13.5482	0	23.6818
cav1m17_AQ4-663701736-0.pdb	-74.8757	-69.0321	-5.8436	0	19.3913
cav1m17_AQ4-664587938-0.pdb	-73.367	-64.8998	-8.46717	0	20.45
cav1m17_AQ4-664681553-0.pdb	-86.9499	-71.262	-15.688	0	20.4348
cav1m17_AQ4-665705827-0.pdb	-91.9839	-78.1102	-13.8737	0	26.4545
cav1m17_AQ4-665709163-0.pdb	-77.4414	-65.5685	-11.8729	0	24.6111
cav1m17_AQ4-665754685-0.pdb	-87.7909	-80.7909	-7	0	19.6
cav1m17_AQ4-668825398-0.pdb	-93.6565	-66.2865	-27.37	0	18.6538
cav1m17_AQ4-669652551-0.pdb	-90.4445	-66.7266	-23.7179	0	23.8
cav1m17_AQ4-669652552-0.pdb	-95.7489	-72.543	-23.2059	0	25.3
cav1m17_AQ4-678392968-0.pdb	-79.819	-65.9525	-13.8665	0	23.2941
cav1m17_AQ4-747621969-0.pdb	-89.2223	-77.212	-12.0103	0	23.25
cav1m17_AQ4-771710410-0.pdb	-81.8222	-61.9609	-19.8613	0	17.32
cav1m17_AQ4-771710412-0.pdb	-86.3698	-71.3755	-14.9943	0	20.52
cav1m17_AQ4-775707993-0.pdb	-73.9276	-70.4488	-3.47888	0	18.5
cav1m17_AQ4-790283204-0.pdb	-98.3906	-75.9575	-22.4331	0	18.7
cav1m17_AQ4-790945010-0.pdb	-97.7885	-83.2733	-14.5152	0	22.0417
cav1m17_AQ4-827603701-0.pdb	-82.7583	-74.0751	-8.68325	0	17.4286
cav1m17_AQ4-872455131-0.pdb	-87.5399	-77.2887	-10.2511	0	21.7391
cav1m17_AQ4-892894825-0.pdb	-89.213	-77.6574	-11.5556	0	27.3158
cav1m17_AQ4-893461255-0.pdb	-98.8744	-86.2651	-12.6093	0	24.2273
