Compound	Energy	VDW	HBond	Elec	
cav4mxo_DB8-ZINC08951413-0.pdb	-92.3217	-89.8217	-2.5	0	
cav4mxo_DB8-ZINC08962565-0.pdb	-98.5265	-90.176	-8.35054	0	
cav4mxo_DB8-ZINC08965771-0.pdb	-88.0493	-73.813	-14.2363	0	
cav4mxo_DB8-ZINC08995893-0.pdb	-90.0583	-81.5183	-8.53999	0	
cav4mxo_DB8-ZINC09008399-0.pdb	-71.1651	-57.3585	-13.8066	0	
cav4mxo_DB8-ZINC09014931-0.pdb	-89.2909	-78.8216	-10.4693	0	
cav4mxo_DB8-ZINC09059530-0.pdb	-77.1245	-77.1245	0	0	
cav4mxo_DB8-ZINC09066581-0.pdb	-105.681	-94.8021	-10.8785	0	
cav4mxo_DB8-ZINC09102648-0.pdb	-86.5231	-76.4169	-10.1062	0	
cav4mxo_DB8-ZINC09129832-0.pdb	-91.4169	-91.4169	0	0	
cav4mxo_DB8-ZINC09135457-0.pdb	-90.339	-85.8278	-4.51118	0	
cav4mxo_DB8-ZINC09155190-0.pdb	-91.9152	-82.7114	-9.20384	0	
cav4mxo_DB8-ZINC09155341-0.pdb	-97.1094	-85.0404	-12.069	0	
cav4mxo_DB8-ZINC09209626-0.pdb	-97.4692	-84.6137	-12.8555	0	
cav4mxo_DB8-ZINC09217653-0.pdb	-99.4271	-83.7812	-15.6459	0	
cav4mxo_DB8-ZINC09223706-0.pdb	-97.8856	-88.2318	-9.65379	0	
cav4mxo_DB8-ZINC09252792-0.pdb	-107.323	-97.6631	-9.66021	0	
cav4mxo_DB8-ZINC09252813-0.pdb	-83.0527	-78.2525	-4.8002	0	
cav4mxo_DB8-ZINC09253730-0.pdb	-85.7702	-79.2364	-6.53378	0	
cav4mxo_DB8-ZINC09253792-0.pdb	-74.885	-68.885	-6	0	
cav4mxo_DB8-ZINC09264291-0.pdb	-90.3342	-79.8519	-10.4823	0	
cav4mxo_DB8-ZINC09271973-0.pdb	-91.3312	-56.7432	-32.0342	-2.55376	
cav4mxo_DB8-ZINC09298402-0.pdb	-92.5544	-72.9245	-19.6299	0	
cav4mxo_DB8-ZINC09305249-0.pdb	-81.4834	-73.9687	-7.51472	0	
cav4mxo_DB8-ZINC09308318-0.pdb	-97.4185	-80.3701	-17.0484	0	
cav4mxo_DB8-ZINC09337445-0.pdb	-110.246	-103.237	-7.00911	0	
cav4mxo_DB8-ZINC09344407-0.pdb	-85.4455	-74.9455	-10.5	0	
cav4mxo_DB8-ZINC09355272-0.pdb	-98.9019	-78.3557	-20.5462	0	
cav4mxo_DB8-ZINC09359541-0.pdb	-84.1358	-73.6358	-10.5	0	
cav4mxo_DB8-ZINC09410315-0.pdb	-89.9757	-79.2292	-10.7465	0	
cav4mxo_DB8-ZINC09419101-0.pdb	-76.1911	-61.7111	-14.48	0	
cav4mxo_DB8-ZINC09429638-0.pdb	-92.2366	-82.2218	-10.0148	0	
cav4mxo_DB8-ZINC09434028-0.pdb	-111.039	-107.442	-3.59668	0	
cav4mxo_DB8-ZINC09469259-0.pdb	-92.6305	-72.767	-18.6348	-1.22867	
cav4mxo_DB8-ZINC09472916-0.pdb	-93.3683	-78.6267	-14.7416	0	
cav4mxo_DB8-ZINC09488012-0.pdb	-94.7842	-87.6632	-7.12096	0	
cav4mxo_DB8-ZINC09494343-0.pdb	-97.4432	-83.0808	-14.3624	0	
cav4mxo_DB8-ZINC09502420-0.pdb	-94.5052	-81.0986	-13.4066	0	
cav4mxo_DB8-ZINC09540483-0.pdb	-93.1647	-75.6984	-17.4663	0	
cav4mxo_DB8-ZINC09577818-0.pdb	-101.68	-97.364	-4.31613	0	
cav4mxo_DB8-ZINC09590036-0.pdb	-98.3602	-84.0668	-14.2934	0	
cav4mxo_DB8-ZINC09612454-0.pdb	-97.4125	-86.7035	-10.709	0	
cav4mxo_DB8-ZINC09641151-0.pdb	-115.07	-98.5193	-16.5505	0	
cav4mxo_DB8-ZINC09671784-0.pdb	-97.2542	-86.5168	-10.7374	0	
cav4mxo_DB8-ZINC09882922-0.pdb	-86.3728	-66.4126	-19.9602	0	
cav4mxo_DB8-ZINC09884466-0.pdb	-103.737	-98.9234	-4.81375	0	
cav4mxo_DB8-ZINC10049879-0.pdb	-88.6981	-83.2664	-5.43172	0	
cav4mxo_DB8-ZINC10092698-0.pdb	-96.8521	-92.4442	-4.40789	0	
cav4mxo_DB8-ZINC10134783-0.pdb	-89.1972	-76.8535	-12.3437	0	
cav4mxo_DB8-ZINC10294983-0.pdb	-103.1	-83.0766	-20.0231	0	
cav4mxo_DB8-ZINC10295430-0.pdb	-100.854	-74.4944	-26.3597	0	
cav4mxo_DB8-ZINC10335591-0.pdb	-100.963	-83.9701	-16.2541	-0.739142	
cav4mxo_DB8-ZINC10353129-0.pdb	-86.5643	-80.4353	-6.12901	0	
cav4mxo_DB8-ZINC10353140-0.pdb	-95.8689	-89.0064	-6.86254	0	
cav4mxo_DB8-ZINC10353208-0.pdb	-94.7369	-92.5355	-2.20144	0	
cav4mxo_DB8-ZINC10644818-0.pdb	-99.2283	-85.4949	-13.7334	0	
cav4mxo_DB8-ZINC10755363-0.pdb	-86.1675	-79.1877	-6.97981	0	
cav4mxo_DB8-ZINC10768364-0.pdb	-90.4549	-79.5364	-10.9185	0	
cav4mxo_DB8-ZINC10903889-0.pdb	-95.4676	-82.5849	-12.8827	0	
cav4mxo_DB8-ZINC11049973-0.pdb	-89.4088	-82.3523	-7.05653	0	
cav4mxo_DB8-ZINC11392152-0.pdb	-79.2342	-63.07	-16.1642	0	
cav4mxo_DB8-ZINC11416070-0.pdb	-89.2026	-85.7026	-3.5	0	
cav4mxo_DB8-ZINC11540759-0.pdb	-97.0101	-84.3342	-12.6759	0	
cav4mxo_DB8-ZINC11784330-0.pdb	-105.813	-98.1078	-7.70533	0	
cav4mxo_DB8-ZINC11878440-0.pdb	-85.6898	-76.1898	-9.5	0	
cav4mxo_DB8-ZINC11898379-0.pdb	-102.57	-97.0955	-5.47415	0	
cav4mxo_DB8-ZINC11910786-0.pdb	-95.1676	-87.4369	-7.73071	0	
cav4mxo_DB8-ZINC11972138-0.pdb	-92.7333	-89.2333	-3.5	0	
cav4mxo_DB8-ZINC12006690-0.pdb	-96.147	-92.8333	-3.3137	0	
cav4mxo_DB8-ZINC12007860-0.pdb	-98.3811	-92.4008	-5.98032	0	
cav4mxo_DB8-ZINC12008559-0.pdb	-93.1602	-77.3056	-15.8546	0	
cav4mxo_DB8-ZINC12009706-0.pdb	-101.163	-79.8878	-21.2748	0	
cav4mxo_DB8-ZINC12035955-0.pdb	-86.5447	-79.1308	-7.4139	0	
cav4mxo_DB8-ZINC12041168-0.pdb	-90.0995	-87.535	-2.56454	0	
cav4mxo_DB8-ZINC12042710-0.pdb	-100.289	-100.289	0	0	
cav4mxo_DB8-ZINC12083771-0.pdb	-88.5251	-79.0957	-9.42937	0	
cav4mxo_DB8-ZINC12098632-0.pdb	-97.0155	-94.5155	-2.5	0	
cav4mxo_DB8-ZINC12132199-0.pdb	-88.8075	-81.1693	-7.63824	0	
cav4mxo_DB8-ZINC12135535-0.pdb	-106.951	-100.951	-6	0	
cav4mxo_DB8-ZINC12191812-0.pdb	-93.8115	-74.077	-19.7345	0	
cav4mxo_DB8-ZINC12338161-0.pdb	-103.407	-93.4828	-9.92382	0	
cav4mxo_DB8-ZINC12341629-0.pdb	-68.4502	-50.2056	-18.2446	0	
cav4mxo_DB8-ZINC12342335-0.pdb	-87.8421	-84.7519	-3.09022	0	
cav4mxo_DB8-ZINC12364919-0.pdb	-94.3849	-87.8386	-6.54626	0	
cav4mxo_DB8-ZINC12369076-0.pdb	-60.3589	-54.3104	-6.04853	0	
cav4mxo_DB8-ZINC12376140-0.pdb	-76.9526	-69.9526	-7	0	
cav4mxo_DB8-ZINC12399114-0.pdb	-46.1799	-39.2509	-7.65519	0.726189	
cav4mxo_DB8-ZINC12401685-0.pdb	-110.491	-90.7081	-19.783	0	
cav4mxo_DB8-ZINC12401686-0.pdb	-97.2205	-79.221	-17.9995	0	
cav4mxo_DB8-ZINC12469534-0.pdb	-81.9203	-64.5751	-17.3452	0	
cav4mxo_DB8-ZINC12496690-0.pdb	-80.4072	-73.9395	-6.4677	0	
cav4mxo_DB8-ZINC12496721-0.pdb	-86.0073	-78.4572	-7.55009	0	
cav4mxo_DB8-ZINC12506726-0.pdb	-98.2468	-83.5756	-14.6712	0	
cav4mxo_DB8-ZINC12524086-0.pdb	-104.23	-77.7271	-26.5028	0	
cav4mxo_DB8-ZINC12559222-0.pdb	-105.412	-96.2336	-9.17823	0	
cav4mxo_DB8-ZINC12559626-0.pdb	-84.2764	-72.632	-11.6444	0	
cav4mxo_DB8-ZINC12561594-0.pdb	-76.5664	-73.0664	-3.5	0	
cav4mxo_DB8-ZINC12566139-0.pdb	-93.2473	-82.978	-10.2693	0	
cav4mxo_DB8-ZINC12652311-0.pdb	-91.7535	-88.4275	-3.32601	0	
cav4mxo_DB8-ZINC12660897-0.pdb	-84.243	-63.9898	-20.2532	0	
cav4mxo_DB8-ZINC12661539-0.pdb	-102.229	-93.7294	-8.5	0	
cav4mxo_DB8-ZINC12661859-0.pdb	-82.6503	-75.8146	-6.83573	0	
cav4mxo_DB8-ZINC12661865-0.pdb	-94.3137	-85.5114	-8.80231	0	
cav4mxo_DB8-ZINC12680993-0.pdb	-95.1168	-86.4729	-8.64389	0	
cav4mxo_DB8-ZINC12858318-0.pdb	-97.1706	-86.3378	-10.8328	0	
cav4mxo_DB8-ZINC12862740-0.pdb	-103.315	-93.182	-10.1325	0	
cav4mxo_DB8-ZINC12880317-0.pdb	-90.4322	-82.2693	-8.16285	0	
cav4mxo_DB8-ZINC12882721-0.pdb	-95.8039	-88.5755	-7.2284	0	
cav4mxo_DB8-ZINC12885481-0.pdb	-95.9952	-86.616	-9.71321	0.334013	
cav4mxo_DB8-ZINC12891288-0.pdb	-91.3085	-86.3259	-6.63841	1.6558	
cav4mxo_DB8-ZINC12899313-0.pdb	-92.4184	-80.96	-11.4584	0	
cav4mxo_DB8-ZINC13008089-0.pdb	-93.1511	-87.1511	-6	0	
cav4mxo_DB8-ZINC13020463-0.pdb	-93.4557	-76.9249	-18.7029	2.17207	
cav4mxo_DB8-ZINC13034668-0.pdb	-83.0369	-66.6034	-16.4335	0	
cav4mxo_DB8-ZINC13059883-0.pdb	-92.3672	-81.9551	-9.7114	-0.700731	
cav4mxo_DB8-ZINC13117921-0.pdb	-91.2264	-81.4184	-9.80802	0	
cav4mxo_DB8-ZINC13126954-0.pdb	-101.537	-91.5377	-9.99885	0	
cav4mxo_DB8-ZINC13127840-0.pdb	-109.286	-95.1227	-14.1631	0	
cav4mxo_DB8-ZINC13127841-0.pdb	-106.063	-89.1962	-16.8666	0	
cav4mxo_DB8-ZINC13129343-0.pdb	-80.7845	-80.2547	-0.52984	0	
cav4mxo_DB8-ZINC13131315-0.pdb	-85.3972	-68.0385	-17.3587	0	
cav4mxo_DB8-ZINC13184479-0.pdb	-101.921	-94.4121	-9.5	1.99077	
cav4mxo_DB8-ZINC13212321-0.pdb	-102.606	-88.9071	-13.6563	-0.0430625	
cav4mxo_DB8-ZINC13241600-0.pdb	-105.281	-100.2	-5.87323	0.791979	
cav4mxo_DB8-ZINC13242216-0.pdb	-101.894	-100.924	-0.969613	0	
